nama,tipe_node,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
Mad Max 2,Movie,0.5813690423965454,1.1870059967041016,-0.49951833486557007,0.2787141501903534,-0.13068392872810364,-0.42626872658729553,-0.20610502362251282,1.0322721004486084
Das Boot,Movie,0.1345067173242569,0.23267988860607147,0.6893595457077026,1.160754919052124,-0.7083741426467896,-0.6016082763671875,0.6156831979751587,0.6956049203872681
Stripes,Movie,0.46774521470069885,0.8923125267028809,0.8255877494812012,0.47633811831474304,-0.8151222467422485,0.5613536834716797,0.48298025131225586,1.07256281375885
Possession,Movie,0.4392535090446472,-0.02017761766910553,-0.8164657354354858,-0.18529891967773438,0.6617621779441833,-1.0795170068740845,-1.3901920318603516,1.3262914419174194
The Cannonball Run,Movie,-0.22032493352890015,-0.5401329398155212,0.5746686458587646,0.4991972744464874,0.06794435530900955,-0.7912428379058838,-1.302758812904358,1.1615413427352905
Thief,Movie,0.8474249243736267,-0.8734388947486877,0.32847464084625244,1.26274573802948,0.2503276467323303,-0.5784356594085693,-0.2667074203491211,0.27485764026641846
Endless Love,Movie,1.1554038524627686,-0.4941866993904114,1.2766293287277222,0.32550132274627686,-0.16668789088726044,-0.44607841968536377,0.6876758337020874,0.10688547790050507
Time Bandits,Movie,0.6294332146644592,0.5541990995407104,0.8972288370132446,0.9279167652130127,0.31278693675994873,0.26928597688674927,0.9474126100540161,0.3104543685913086
The Four Seasons,Movie,-0.07814925909042358,1.6701031923294067,-0.9239047169685364,0.22434958815574646,-0.05170385539531708,-0.09534428268671036,-0.8712656497955322,0.8707882165908813
Friday the 13th Part 2,Movie,0.565351665019989,1.192603588104248,-1.3084288835525513,-0.18288300931453705,0.31575343012809753,-0.07138615101575851,-0.4348269999027252,0.79881751537323
Scanners,Movie,-0.34128567576408386,0.3159900903701782,-0.20621594786643982,0.7273774743080139,0.6484804153442383,-0.41043850779533386,-0.13014042377471924,-0.09016367793083191
For Your Eyes Only,Movie,0.5572559833526611,0.698001503944397,0.07374243438243866,0.8306075930595398,0.37414491176605225,0.6599860191345215,-0.47256264090538025,0.42467552423477173
Halloween II,Movie,-0.7945238947868347,0.4133288562297821,0.20542246103286743,0.4212983250617981,0.5114917159080505,-0.27182555198669434,0.3878213167190552,-0.48596125841140747
Taps,Movie,1.1047515869140625,-1.2358808517456055,0.4101124703884125,0.7207680940628052,0.04199453815817833,0.2297099232673645,0.19850879907608032,0.045312367379665375
Reds,Movie,0.27813833951950073,0.07242603600025177,0.0625636875629425,-1.4107602834701538,-1.3025275468826294,0.42334288358688354,-0.6698795557022095,-0.5753297805786133
On Golden Pond,Movie,1.7635383605957031,0.3896784782409668,-0.7975606322288513,-0.3252485692501068,-0.5283902287483215,0.8086752891540527,-0.4159221053123474,-0.09469880163669586
The Fox and the Hound,Movie,-0.26834964752197266,-0.2212723344564438,-0.26621147990226746,0.1685466468334198,0.6678592562675476,-0.2443646639585495,0.4989392161369324,-0.0042137280106544495
Chariots of Fire,Movie,0.5897773504257202,0.15685570240020752,0.32979124784469604,-0.07516802847385406,-0.42817002534866333,0.7057645320892334,-0.5655969381332397,-1.359057068824768
Absence of Malice,Movie,1.318524956703186,-0.46358591318130493,-0.2364482283592224,0.8591039180755615,1.069156527519226,0.2893303632736206,-0.3516795337200165,-0.3361606001853943
Tarzan the Ape Man,Movie,1.5527600049972534,0.4494219124317169,0.2792258858680725,-0.17517708241939545,1.376818299293518,-0.04453084617853165,-0.014602214097976685,0.2506486475467682
Victory,Movie,1.1048524379730225,0.011168165132403374,-0.1921512931585312,-0.8348133563995361,0.20117539167404175,0.37344983220100403,-1.9081950187683105,-0.5327643156051636
Arthur,Movie,-0.6637200117111206,0.3018501102924347,0.14956189692020416,1.3099918365478516,-0.018867917358875275,-1.1573922634124756,-0.2913334369659424,1.3495006561279297
My Dinner with Andre,Movie,0.1113329827785492,0.653451681137085,1.847364902496338,0.02227706089615822,-1.2267451286315918,0.04228910803794861,0.40911921858787537,-0.39700719714164734
Caveman,Movie,1.4382890462875366,0.39161360263824463,-1.148302435874939,-0.8826937079429626,-0.020616697147488594,0.012287629768252373,-0.24288734793663025,0.4339999258518219
Dead & Buried,Movie,-0.06555308401584625,0.10587906092405319,-0.512731671333313,-0.6549473404884338,0.9150260090827942,-0.3040030598640442,-0.8420716524124146,0.025268718600273132
History of the World: Part I,Movie,0.7585510015487671,-0.03080221265554428,0.778168797492981,0.20448076725006104,-0.675615668296814,0.48800262808799744,0.13791629672050476,0.3134963810443878
The Howling,Movie,-0.04100674390792847,0.9671211242675781,-1.5881576538085938,0.14532876014709473,0.07096943259239197,-0.10168836265802383,0.13262318074703217,0.5849007964134216
Drama,Genre,1.7919814586639404,-0.20129108428955078,-0.20418497920036316,0.016340073198080063,0.10383729636669159,0.3146510720252991,-1.544820785522461,0.3580027222633362
